address,price
"3115 Broadway, Apt. 45",350000
"69 Tiemann Place, Apt. 9",442000
"69 Tiemann Place, Apt. 4",466000
"510 West 123rd Street, Apt. 44",475000
"80 La Salle Street, Apt. 2A",498000
"600 West 111th Street, Apt. PHI",499000
"The Altamonte, 606 West 113th Street, Apt. 1A",529000
"501 West 123rd Street, Apt. 3H",539000
"90 La Salle Street, Apt. 13H",545000
"390 Riverside Drive, Apt. 1B",549000
"501 West 123rd Street, Apt. 9H",580000
"Cliff Haven, 417 Riverside Drive, Apt. 5B",595000
"The Altamonte, 606 West 113th Street, Apt. 3A",600000
"549 West 123rd Street, Apt. 13H",619000
"501 West 123rd Street, Apt. 19H",625000
"528 West 111th Street, Apt. 23",639000
"390 Riverside Drive, Apt. 12AD",750000
"Vandewater, 543 West 122nd Street, Apt. 5D",1150000
"Vandewater, 543 West 122nd Street, Apt. 6D",1160000
"Vandewater, 543 West 122nd Street, Apt. 2B",1170000
"Vandewater, 543 West 122nd Street, Apt. 3B",1185000
"Vandewater, 543 West 122nd Street, Apt. 9D",1190000
"Vandewater, 543 West 122nd Street, Apt. 10D",1200000
"Vandewater, 543 West 122nd Street, Apt. 11D",1210000
"Vandewater, 543 West 122nd Street, Apt. 12D",1220000
"Vandewater, 543 West 122nd Street, Apt. 6B",1230000
"Vandewater, 543 West 122nd Street, Apt. 7G",1260000
"Vandewater, 543 West 122nd Street, Apt. 18F",1265000
"Vandewater, 543 West 122nd Street, Apt. 17D",1265000
"Vandewater, 543 West 122nd Street, Apt. 18D",1280000
"Vandewater, 543 West 122nd Street, Apt. 19F",1280000
"Vandewater, 543 West 122nd Street, Apt. 9G",1290000
"Vandewater, 543 West 122nd Street, Apt. 19D",1295000
"Vandewater, 543 West 122nd Street, Apt. 20F",1295000
"Vandewater, 543 West 122nd Street, Apt. 10G",1305000
"Vandewater, 543 West 122nd Street, Apt. 20D",1310000
"Vandewater, 543 West 122nd Street, Apt. 21F",1310000
"Vandewater, 543 West 122nd Street, Apt. 21D",1325000
"Vandewater, 543 West 122nd Street, Apt. 22F",1325000
"Vandewater, 543 West 122nd Street, Apt. 22D",1340000
"Vandewater, 543 West 122nd Street, Apt. 23F",1340000
"Vandewater, 543 West 122nd Street, Apt. 23D",1355000
"Vandewater, 543 West 122nd Street, Apt. 17F",1375000
