'%weight','thickness','speed','power'
38.64,0.2,600,600
35.13,0.3,600,600
19.2,0.4,600,600
38.16,0.2,900,600
34.24,0.3,900,600
26.23,0.4,900,600
37.54,0.2,1200,600
33.46,0.3,1200,600
30.44,0.4,1200,600
36.56,0.2,600,700
35.91,0.3,600,700
34.62,0.4,600,700
39.16,0.2,900,700
33.1,0.3,900,700
28.71,0.4,900,700
37.06,0.2,1200,700
31.78,0.3,1200,700
21.5,0.4,1200,700
39.44,0.2,600,800
40.42,0.3,600,800
37.21,0.4,600,800
39.34,0.2,900,800
37.64,0.3,900,800
35.65,0.4,900,800
39.3,0.2,1200,800
34.97,0.3,1200,800
32.5,0.4,1200,800
