'Time','Ice Thickness','Residuals'
0.17,0.5,-1.03
0.33,1.25,-0.92
0.5,1.5,-1.35
0.67,2.75,-0.78
0.83,3.5,-0.68
1,4.75,-0.11
1.17,5.75,0.21
1.33,5.6,-0.59
1.5,7,0.13
1.67,8,0.45
1.83,8.25,0.06
2,9.5,0.62
2.17,10.5,0.94
2.33,11,0.8
2.5,10.75,-0.14
2.67,12.5,0.93
2.83,12.25,0.04
3,13.25,0.36
3.17,15.5,1.92
3.33,15,0.78
3.5,15.25,0.35
3.67,16.25,0.67
3.83,17.25,1.02
4,18,1.09
4.17,18.25,0.66
4.33,18.15,-0.09
4.5,20.25,1.33
4.67,19.5,-0.1
4.83,20,-0.24
5,20.5,-0.43
5.17,20.6,-1.01
5.33,20.5,-1.75
5.5,19.8,-3.14
