'Obs','pdconc','niconc','pH','temp','currdens','pallcont'
1,16,24,9,35,5,61.5
2,8,24,9,35,3,51
3,16,16,9,35,3,81
4,8,16,9,35,5,50.9000015258789
5,16,24,8,35,3,66.6999969482422
6,8,24,8,35,5,48.7999992370605
7,16,16,8,35,5,71.3000030517578
8,8,16,8,35,3,62.7999992370605
9,16,24,9,25,3,64
10,8,24,9,25,5,37.7000007629395
11,16,16,9,25,5,68.6999969482422
12,8,16,9,25,3,54.0999984741211
13,16,24,8,25,5,61.5999984741211
14,8,24,8,25,3,48
15,16,16,8,25,3,73.1999969482422
16,8,16,8,25,5,43.2999992370605
17,4,20,8.5,30,4,35
18,20,20,8.5,30,4,69.5999984741211
19,12,12,8.5,30,4,70
20,12,28,8.5,30,4,48.2000007629395
21,12,20,7.5,30,4,56
22,12,20,9.5,30,4,77.5999984741211
23,12,20,8.5,20,4,55
24,12,20,8.5,40,4,60.5999984741211
25,12,20,8.5,30,2,54.9000015258789
26,12,20,8.5,30,6,49.7999992370605
27,12,20,8.5,30,4,54.0999984741211
28,12,20,8.5,30,4,61.2000007629395
29,12,20,8.5,30,4,52.5
30,12,20,8.5,30,4,57.0999984741211
31,12,20,8.5,30,4,52.5
32,12,20,8.5,30,4,56.5999984741211
