'Subgroup','x1','x2','x3','x4'
1,13.02,12.95,12.92,12.99
2,13.02,13.1,12.96,12.96
3,13.04,13.08,13.05,13.1
4,13.04,12.96,12.96,12.97
5,12.96,12.97,12.9,13.05
6,12.9,12.88,13,13.05
7,12.97,12.96,12.96,12.99
8,13.04,13.02,13.05,12.97
9,13.05,13.1,12.98,12.96
10,12.96,13,12.96,12.99
11,12.9,13.05,12.98,12.88
12,12.96,12.98,12.97,13.02
13,13,12.96,12.99,12.9
14,12.88,12.94,13.05,13
15,12.96,12.96,13.04,12.98
16,12.99,12.94,13,13.05
17,13.05,13.02,12.88,12.96
18,13.08,13.06,13.1,13.05
19,13.02,13.05,13.04,12.97
20,12.96,12.9,12.97,13.05
21,12.98,12.99,12.96,13
22,12.97,13.02,12.96,12.99
23,13.04,13,12.98,13.1
24,13.02,12.9,13.05,12.97
25,12.93,12.88,12.91,12.9
