'samples','resistance','observation'
1,29.7,1
2,32.2,1
3,35.9,1
4,28.8,1
5,30.9,1
6,30.6,1
7,32.3,1
8,32,1
9,24.2,1
10,33.7,1
11,35.3,1
12,28.1,1
13,28.7,1
14,29,1
15,33.5,1
16,26.9,1
17,30.4,1
18,29,1
19,33.8,1
20,29.7,1
21,27.9,1
22,30,1
1,29,2
2,29.3,2
3,29.1,2
4,27.2,2
5,32.6,2
6,34.3,2
7,27.7,2
8,27.9,2
9,27.5,2
10,24.4,2
11,33.2,2
12,34,2
13,28.9,2
14,33,2
15,32.6,2
16,27.3,2
17,29.6,2
18,28.9,2
19,30.9,2
20,27.9,2
21,27.7,2
22,31.4,2
1,28.8,3
2,32.2,3
3,32.1,3
4,28.5,3
5,28.3,3
6,34.8,3
7,30.9,3
8,31,3
9,28.5,3
10,34.3,3
11,31.4,3
12,31,3
13,25.8,3
14,30.2,3
15,33.6,3
16,32.1,3
17,31,3
18,31.8,3
19,31.7,3
20,29.1,3
21,30.2,3
22,27.7,3
1,30.2,4
2,32.9,4
3,31.3,4
4,35.7,4
5,28.3,4
6,26.3,4
7,27.8,4
8,30.8,4
9,31.1,4
10,31,4
11,28,4
12,30.8,4
13,29.7,4
14,30.1,4
15,29.2,4
16,28.5,4
17,33.8,4
18,26.7,4
19,28.2,4
20,30.1,4
21,32.9,4
22,28.1,4
