'des_dim','deviation','subgroup'
200,12,1
250,6,1
300,5,1
350,19,1
400,9,1
450,9,1
500,8,1
550,4,1
600,11,1
650,13,1
700,10,1
750,8,1
800,14,1
850,7,1
900,14,1
950,10,1
1000,7,1
200,17,2
250,9,2
300,9,2
350,6,2
400,14,2
450,15,2
500,11,2
550,14,2
600,14,2
650,9,2
700,14,2
750,9,2
800,7,2
850,9,2
900,5,2
950,12,2
1000,11,2
200,6,3
250,17,3
300,15,3
350,11,3
400,9,3
450,8,3
500,12,3
550,11,3
600,7,3
650,9,3
700,8,3
750,4,3
800,9,3
850,12,3
900,8,3
950,10,3
1000,15,3
