'Batch'	'diameter'	'casting'
1	59.664	'x1'
2	59.661	'x1'
3	59.679	'x1'
4	59.665	'x1'
5	59.667	'x1'
6	59.673	'x1'
7	59.676	'x1'
8	59.648	'x1'
9	59.681	'x1'
10	59.655	'x1'
11	59.691	'x1'
12	59.682	'x1'
13	59.651	'x1'
14	59.668	'x1'
15	59.691	'x1'
16	59.661	'x1'
1	59.675	'x2'
2	59.648	'x2'
3	59.652	'x2'
4	59.654	'x2'
5	59.678	'x2'
6	59.657	'x2'
7	59.661	'x2'
8	59.651	'x2'
9	59.675	'x2'
10	59.672	'x2'
11	59.676	'x2'
12	59.651	'x2'
13	59.682	'x2'
14	59.685	'x2'
15	59.682	'x2'
16	59.673	'x2'
