'defects'	'C11'	'C12'	'C13'	'C14'	'C15'	'C16'	'C17'	'C18'	'C19'	'C20'	'C21'	'C22'	'C23'
3													
7	3	3	6	7	2	3	2	4	7	3	2	4	4
5													
3													
4													
2													
8													
4													
3													
3													
6													
7													
2													
3													
2													
4													
7													
3													
2													
4													
4													
1													
5													
4													
6													
