'day'	'viscosity'	'sample #'
1	10.37	1
2	10.48	1
3	10.77	1
4	10.47	1
5	10.84	1
6	10.48	1
7	10.41	1
8	10.4	1
9	10.33	1
10	10.73	1
11	10.41	1
12	10	1
13	10.37	1
14	10.47	1
15	10.46	1
16	10.44	1
17	10.65	1
18	10.73	1
19	10.39	1
20	10.59	1
21	10.47	1
22	10.4	1
23	10.24	1
24	10.37	1
25	10.46	1
1	10.19	2
2	10.24	2
3	10.22	2
4	10.26	2
5	10.75	2
6	10.53	2
7	10.52	2
8	10.38	2
9	10.35	2
10	10.45	2
11	10.68	2
12	10.6	2
13	10.5	2
14	10.6	2
15	10.46	2
16	10.68	2
17	10.42	2
18	10.72	2
19	10.75	2
20	10.23	2
21	10.67	2
22	10.55	2
23	10.71	2
24	10.69	2
25	10.35	2
1	10.36	3
2	10.58	3
3	10.54	3
4	10.31	3
5	10.53	3
6	10.5	3
7	10.46	3
8	10.69	3
9	10.49	3
10	10.3	3
11	10.25	3
12	10.71	3
13	10.34	3
14	10.75	3
15	10.56	3
16	10.32	3
17	10.26	3
18	10.83	3
19	10.27	3
20	10.35	3
21	10.64	3
22	10.38	3
23	10.27	3
24	10.4	3
25	10.37	3
