temps,type
1.59,cooler
1.43,cooler
1.88,cooler
1.26,cooler
1.91,cooler
1.86,cooler
1.90,cooler
1.57,cooler
1.79,cooler
1.72,cooler
2.41,cooler
2.34,cooler
0.83,cooler
1.34,cooler
1.76,cooler
1.92,control
2.00,control
2.19,control
1.12,control
1.78,control
1.84,control
2.45,control
2.03,control
1.52,control
0.53,control
1.90,control
2.57,warmer
2.60,warmer
1.93,warmer
1.58,warmer
2.30,warmer
0.84,warmer
2.65,warmer
0.12,warmer
2.74,warmer
2.53,warmer
2.13,warmer
2.86,warmer
2.31,warmer
1.91,warmer
