strength,treatment
56.7,SBP-dry
57.4,SBP-dry
53.4,SBP-dry
54.0,SBP-dry
49.9,SBP-dry
49.9,SBP-dry
56.2,SBP-dry
51.9,SBP-dry
49.6,SBP-dry
45.7,SBP-dry
56.8,SBP-dry
54.1,SBP-dry
49.2,SBPmoist
47.4,SBPmoist
53.7,SBPmoist
50.6,SBPmoist
62.7,SBPmoist
48.8,SBPmoist
41.0,SBPmoist
57.4,SBPmoist
51.4,SBPmoist
53.4,SBPmoist
55.2,SBPmoist
38.9,SBPmoist
38.8,OBP-dry
46.0,OBP-dry
38.0,OBP-dry
47.0,OBP-dry
46.2,OBP-dry
39.8,OBP-dry
25.9,OBP-dry
37.8,OBP-dry
43.4,OBP-dry
40.2,OBP-dry
35.4,OBP-dry
40.3,OBP-dry
40.6,OBP-moist
35.5,OBP-moist
58.7,OBP-moist
50.4,OBP-moist
43.1,OBP-moist
61.7,OBP-moist
33.3,OBP-moist
38.7,OBP-moist
45.4,OBP-moist
47.2,OBP-moist
53.3,OBP-moist
44.9,OBP-moist
