Treatment,(g/L),pH,(°C),(hr),Repl.,Repl.
(1),0.50,6.0,60.0,6,9.72,13.50
a,0.75,6.0,60.0,6,9.80,14.04
b,0.50,7.0,60.0,6,10.13,11.27
ab,0.75,7.0,60.0,6,11.80,11.30
c,0.50,6.0,70.0,6,12.70,11.37
ac,0.75,6.0,70.0,6,11.96,12.05
bc,0.50,7.0,70.0,6,11.38,9.92
abc,0.75,7.0,70.0,6,11.80,11.10
d,0.50,6.0,60.0,8,13.15,13.00
ad,0.75,6.0,60.0,8,10.60,12.37
bd,0.50,7.0,60.0,8,10.37,12.00
abd,0.75,7.0,60.0,8,11.30,11.64
cd,0.50,6.0,70.0,8,13.05,14.55
acd,0.75,6.0,70.0,8,11.15,15.00
bcd,0.50,7.0,70.0,8,12.70,14.10
abcd,0.75,7.0,70.0,8,13.20,16.12
