Response,pH,Health
1.2,pH 3,Diseased
1.4,pH 3,Diseased
1.0,pH 3,Diseased
1.2,pH 3,Diseased
1.4,pH 3,Diseased
0.8,pH 5.5,Diseased
0.6,pH 5.5,Diseased
0.8,pH 5.5,Diseased
1.0,pH 5.5,Diseased
0.8,pH 5.5,Diseased
1.0,pH 7,Diseased
1.0,pH 7,Diseased
1.2,pH 7,Diseased
1.4,pH 7,Diseased
1.2,pH 7,Diseased
1.4,pH 3,Healthy
1.6,pH 3,Healthy
1.6,pH 3,Healthy
1.6,pH 3,Healthy
1.4,pH 3,Healthy
1.0,pH 5.5,Healthy
1.2,pH 5.5,Healthy
1.2,pH 5.5,Healthy
1.4,pH 5.5,Healthy
1.4,pH 5.5,Healthy
1.2,pH 7,Healthy
1.4,pH 7,Healthy
1.2,pH 7,Healthy
1.2,pH 7,Healthy
1.4,pH 7,Healthy
