Response,Pressure,Temperature (Degrees),Fabric
73,17.2,8,420-D
80,17.2,8,420-D
35,17.2,8,630-D
433,17.2,8,630-D
125,17.2,8,840-D
111,17.2,8,840-D
157,34.4,8,420-D
155,34.4,8,420-D
91,34.4,8,630-D
98,34.4,8,630-D
234,34.4,8,840-D
233,34.4,8,840-D
332,103.4,8,420-D
322,103.4,8,420-D
288,103.4,8,630-D
271,103.4,8,630-D
477,103.4,8,840-D
464,103.4,8,840-D
52,17.2,50,420-D
51,17.2,50,420-D
16,17.2,50,630-D
12,17.2,50,630-D
96,17.2,50,840-D
100,17.2,50,840-D
125,34.4,50,420-D
118,34.4,50,420-D
72,34.4,50,630-D
78,34.4,50,630-D
149,34.4,50,840-D
155,34.4,50,840-D
281,103.4,50,420-D
264,103.4,50,420-D
169,103.4,50,630-D
173,103.4,50,630-D
338,103.4,50,840-D
350,103.4,50,840-D
37,17.2,75,420-D
31,17.2,75,420-D
30,17.2,75,630-D
41,17.2,75,630-D
102,17.2,75,840-D
98,17.2,75,840-D
95,34.4,75,420-D
106,34.4,75,420-D
91,34.4,75,630-D
100,34.4,75,630-D
170,34.4,75,840-D
160,34.4,75,840-D
276,103.4,75,420-D
281,103.4,75,420-D
213,103.4,75,630-D
211,103.4,75,630-D
307,103.4,75,840-D
311,103.4,75,840-D
