Response,Conductor Material,Adhesive,Cure Time
72.7,Copper,1,1
80.0,Copper,1,1
77.8,Copper,2,1
75.3,Copper,2,1
77.3,Copper,3,1
76.5,Copper,3,1
74.7,Nickel,1,1
77.4,Nickel,1,1
79.3,Nickel,2,1
77.8,Nickel,2,1
77.2,Nickel,3,1
78.4,Nickel,3,1
74.6,Copper,1,2
77.5,Copper,1,2
78.5,Copper,2,2
81.1,Copper,2,2
80.9,Copper,3,2
82.6,Copper,3,2
75.7,Nickel,1,2
78.2,Nickel,1,2
78.8,Nickel,2,2
75.4,Nickel,2,2
84.5,Nickel,3,2
77.5,Nickel,3,2
80.0,Copper,1,3
82.7,Copper,1,3
84.6,Copper,2,3
78.3,Copper,2,3
83.9,Copper,3,3
85.0,Copper,3,3
77.2,Nickel,1,3
74.6,Nickel,1,3
83.0,Nickel,2,3
83.9,Nickel,2,3
89.4,Nickel,3,3
81.2,Nickel,3,3
