Temp,Removal %,Obs
7.68,98.09,1
6.51,98.25,2
6.43,97.82,3
5.48,97.82,4
6.57,97.82,5
10.22,97.93,6
15.69,98.38,7
16.77,98.89,8
17.13,98.96,9
17.63,98.90,10
16.72,98.68,11
15.45,98.69,12
12.06,98.51,13
11.44,98.09,14
10.17,98.25,15
9.64,98.36,16
8.55,98.27,17
7.57,98.00,18
6.94,98.09,19
8.32,98.25,20
10.50,98.41,21
16.02,98.51,22
17.83,98.71,23
17.03,98.79,24
16.18,98.87,25
16.26,98.76,26
14.44,98.58,27
12.78,98.73,28
12.25,98.45,29
11.69,98.37,30
11.34,98.36,31
10.97,98.45,32
