Time,Ice Thickness,Residuals
0.17,0.50,-1.03
0.33,1.25,-0.92
0.50,1.50,-1.35
0.67,2.75,-0.78
0.83,3.50,-0.68
1.00,4.75,-0.11
1.17,5.75,0.21
1.33,5.60,-0.59
1.50,7.00,0.13
1.67,8.00,0.45
1.83,8.25,0.06
2.00,9.50,0.62
2.17,10.50,0.94
2.33,11.00,0.80
2.50,10.75,-0.14
2.67,12.50,0.93
2.83,12.25,0.04
3.00,13.25,0.36
3.17,15.50,1.92
3.33,15.00,0.78
3.50,15.25,0.35
3.67,16.25,0.67
3.83,17.25,1.02
4.00,18.00,1.09
4.17,18.25,0.66
4.33,18.15,-0.09
4.50,20.25,1.33
4.67,19.50,-0.10
4.83,20.00,-0.24
5.00,20.50,-0.43
5.17,20.60,-1.01
5.33,20.50,-1.75
5.50,19.80,-3.14
