Obs,Plastics,Paper,Garbage,Water,Energy Content
1,18.69,15.65,45.01,58.21,947
2,19.43,23.51,39.69,46.31,1407
3,19.24,24.23,43.16,46.63,1452
4,22.64,22.20,35.76,45.85,1553
5,16.54,23.56,41.20,55.14,989
6,21.44,23.65,35.56,54.24,1162
7,19.53,24.45,40.18,47.20,1466
8,23.97,19.39,44.11,43.82,1656
9,21.45,23.84,35.41,51.01,1254
10,20.34,26.50,34.21,49.06,1336
11,17.03,23.46,32.45,53.23,1097
12,21.03,26.99,38.19,51.78,1266
13,20.49,19.87,41.35,46.69,1401
14,20.45,23.03,43.59,53.57,1223
15,18.81,22.62,42.20,52.98,1216
16,18.28,21.87,41.50,47.44,1334
17,21.41,20.47,41.20,54.68,1155
18,25.11,22.59,37.02,48.74,1453
19,21.04,26.27,38.66,53.22,1278
20,17.99,28.22,44.18,53.37,1153
21,18.73,29.39,34.77,51.06,1225
22,18.49,26.58,37.55,50.66,1237
23,22.08,24.88,37.07,50.72,1327
24,14.28,26.27,35.80,48.24,1229
25,17.74,23.61,37.36,49.92,1205
26,20.54,26.58,35.40,53.58,1221
27,18.25,13.77,51.32,51.38,1138
28,19.09,25.62,39.54,50.13,1295
29,21.25,20.63,40.72,48.67,1391
30,21.62,22.71,36.22,48.19,1372
