Obs,Linoleic,Kerosene,Antiox,Betacaro
1,30.00,30.00,10.00,0.7000
2,30.00,30.00,10.00,0.6300
3,30.00,30.00,18.41,0.0130
4,40.00,40.00,5.00,0.0490
5,30.00,30.00,10.00,0.7000
6,13.18,30.00,10.00,0.1000
7,20.00,40.00,5.00,0.0400
8,20.00,40.00,15.00,0.0065
9,40.00,20.00,5.00,0.2020
10,30.00,30.00,10.00,0.6300
11,30.00,30.00,1.59,0.0400
12,40.00,20.00,15.00,0.1320
13,40.00,40.00,15.00,0.1500
14,30.00,30.00,10.00,0.7000
15,30.00,46.82,10.00,0.3460
16,30.00,30.00,10.00,0.6300
17,30.00,13.18,10.00,0.3970
18,20.00,20.00,5.00,0.2690
19,20.00,20.00,15.00,0.0054
20,46.82,30.00,10.00,0.0640
