Run,y,x1,x2,x`1,x`2
1,60.0,2400,54.5,-1.52428,-0.57145
2,61.0,2450,56.0,-1.39535,-0.35543
3,65.0,2450,58.5,-1.39535,0.00461
4,30.5,2500,43.0,-1.26642,-2.22763
5,63.5,2500,58.0,-1.26642,-0.06740
6,65.0,2500,59.0,-1.26642,0.07662
7,44.0,2700,52.5,-0.75070,-0.85948
8,52.0,2700,65.5,-0.75070,1.01272
9,54.5,2700,68.0,-0.75070,1.37276
10,30.0,2750,45.0,-0.62177,-1.93960
11,26.0,2775,45.5,-0.55731,-1.86759
12,23.0,2800,48.0,-0.49284,-1.50755
13,54.0,2800,63.0,-0.49284,0.65268
14,36.0,2900,58.5,-0.23499,0.00461
15,53.5,2900,64.5,-0.23499,0.86870
16,57.0,3000,66.0,0.02287,1.08472
17,33.5,3075,57.0,0.21627,-0.21141
18,34.0,3100,57.5,0.28073,-0.13941
19,44.0,3150,64.0,0.40966,0.79669
20,33.0,3200,57.0,0.53859,-0.21141
21,39.0,3200,64.0,0.53859,0.79669
22,53.0,3200,69.0,0.53859,1.51677
23,38.5,3225,68.0,0.60305,1.37276
24,39.5,3250,62.0,0.66752,0.50866
25,36.0,3250,64.5,0.66752,0.86870
26,8.5,3250,48.0,0.66752,-1.50755
27,30.0,3500,60.0,1.31216,0.22063
28,29.0,3500,59.0,1.31216,0.07662
29,26.5,3500,58.0,1.31216,-0.06740
30,24.5,3600,58.0,1.57002,-0.06740
31,26.5,3900,61.0,2.34360,0.36465
