moisture,fabric
12.2,1
12.4,1
12.9,1
13.2,1
12.8,1
13.9,1
12.2,1
12.6,1
14.6,1
12.8,1
12.6,1
13.5,1
13.4,1
13.5,1
12.3,1
12.6,1
12.1,1
13.0,1
12.4,1
12.7,1
12.6,1
12.7,1
12.1,2
13.3,2
12.7,2
13.0,2
12.3,2
13.4,2
14.4,2
12.8,2
13.4,2
12.3,2
13.1,2
12.3,2
13.3,2
12.4,2
12.8,2
13.4,2
12.7,2
12.8,2
13.2,2
12.4,2
12.8,2
13.4,2
13.3,3
12.8,3
14.2,3
13.0,3
12.2,3
13.1,3
12.4,3
13.5,3
12.2,3
12.6,3
12.7,3
12.8,3
12.0,3
13.0,3
13.0,3
12.1,3
13.4,3
13.0,3
13.0,3
12.4,3
12.7,3
12.1,3
13.0,4
12.6,4
12.5,4
12.6,4
13.3,4
12.4,4
12.4,4
13.9,4
13.7,4
13.2,4
13.2,4
13.1,4
12.9,4
13.6,4
12.8,4
13.2,4
13.0,4
13.3,4
14.0,4
13.9,4
13.4,4
13.2,4
13.0,5
12.9,5
12.9,5
13.9,5
12.0,5
13.2,5
12.5,5
13.1,5
12.5,5
12.8,5
12.3,5
12.9,5
13.1,5
13.4,5
13.5,5
13.3,5
13.9,5
13.1,5
13.1,5
12.8,5
13.0,5
13.3,5
