strength,Interval
51.3,1
51.0,1
50.8,1
50.6,1
49.6,1
51.3,1
49.7,1
51.8,1
48.6,1
49.6,1
49.9,1
49.6,1
49.8,1
50.4,1
49.4,1
50.7,1
50.8,1
48.5,1
49.6,1
50.9,1
54.1,1
50.2,1
51.7,2
50.0,2
51.1,2
51.1,2
50.5,2
52.0,2
50.5,2
50.3,2
50.5,2
49.8,2
50.7,2
48.4,2
51.2,2
49.9,2
49.5,2
49.0,2
49.5,2
50.3,2
50.6,2
49.4,2
49.8,2
49.6,2
49.5,3
49.3,3
49.0,3
49.0,3
50.9,3
50.3,3
50.3,3
50.0,3
50.7,3
50.5,3
49.8,3
50.0,3
49.7,3
50.7,3
49.0,3
50.0,3
50.9,3
49.3,3
49.4,3
49.7,3
48.5,3
51.5,3
