Sample Number,xi,xi - 40.15,di,xi - 39.85,ei
1,40.20,0.05,0.05,0.35,0.00
2,39.72,-0.43,0.00,-0.13,0.13
3,40.42,0.27,0.27,0.57,0.00
4,39.98,-0.17,0.10,0.13,0.00
5,40.06,-0.09,0.01,0.21,0.00
6,39.76,-0.39,0.00,-0.09,0.09
7,39.65,-0.50,0.00,-0.20,0.29
8,40.41,0.26,0.26,0.56,0.00
9,40.32,0.17,0.43,0.47,0.00
10,39.84,-0.31,0.12,-0.01,0.01
11,40.49,0.34,0.46,0.64,0.00
12,40.40,0.25,0.71,0.55,0.00
13,40.61,0.46,1.17,0.76,0.00
14,39.98,-0.17,1.00,0.13,0.00
15,40.23,0.08,1.08,0.38,0.00
16,40.34,0.19,1.27,0.49,0.00
